Got interface enp0s3
Got process 4784
processes: 4784
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		4784
618		2/117		2/0		0		100
620		0/117		0/0		0		97
622		14/118		14/1		0		98
624		13/119		13/1		0		97
626		0/119		0/0		0		100
628		0/119		0/0		0		67
630		14/120		14/1		0		90
632		0/120		0/0		0		62
634		13/121		13/1		0		92
636		13/122		13/1		0		97
638		0/122		0/0		0		98
640		13/123		13/1		0		95
642		1/123		1/0		0		100
644		13/124		13/1		0		100
646		0/124		0/0		0		97
648		0/124		0/0		0		73
650		13/125		13/1		0		98
652		0/125		0/0		0		62
654		13/126		13/1		0		100
656		9/127		9/1		0		100
658		4/127		4/0		0		100
660		0/127		0/0		0		89
662		14/128		14/1		0		100
664		0/128		0/0		0		100
666		13/129		13/1		0		96
668		0/129		0/0		0		68
670		13/130		13/1		0		94
672		0/130		0/0		0		94
674		11/131		11/1		0		97
676		2/131		2/0		0		97
678		13/132		13/1		0		97
680		0/132		0/0		0		96
682		13/133		13/1		0		91
684		0/133		0/0		0		100
686		10/134		10/1		0		92
688		3/134		3/0		0		100
690		0/134		0/0		0		65
692		14/135		14/1		0		96
694		0/135		0/0		0		98
696		13/136		13/1		0		96
698		0/136		0/0		0		97
700		13/137		13/1		0		97
702		0/137		0/0		0		92
704		0/137		0/0		0		98
706		14/138		14/1		0		97
708		2/138		2/0		0		72
710		11/139		11/1		0		97
712		14/140		14/1		0		82
714		0/140		0/0		0		95
716		11/141		11/1		0		98
718		0/141		0/0		0		100
720		7/141		7/0		0		90
722		4/141		4/0		0		94
724		15/142		15/1		0		100
726		0/142		0/0		0		98
728		10/142		10/0		0		92
730		2/142		2/0		0		98
732		15/143		15/1		0		100
734		0/143		0/0		0		98
736		13/144		13/1		0		98
738		0/144		0/0		0		98
740		10/145		10/1		0		95
742		0/145		0/0		0		100
744		0/145		0/0		0		70
746		16/146		16/1		0		100
748		0/146		0/0		0		98
750		14/147		14/1		0		92
