Got interface enp0s3
Got process 19056
processes: 19056
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		19056
658		11/220		11/1		0		46
660		6/220		6/0		0		47
662		11/221		11/1		0		51
664		14/222		14/1		0		40
666		7/222		7/0		0		45
668		13/223		13/1		0		41
670		7/224		7/1		0		46
672		12/225		12/1		0		47
674		12/226		12/1		0		51
676		7/226		7/0		0		43
678		12/227		12/1		0		55
680		7/228		7/1		0		45
682		12/229		12/1		0		38
684		13/230		13/1		0		40
686		7/230		7/0		0		43
688		13/231		13/1		0		46
690		8/232		8/1		0		48
692		12/233		12/1		0		50
694		11/234		11/1		0		41
696		6/234		6/0		0		52
698		11/235		11/1		0		44
700		6/235		6/0		0		45
702		11/236		11/1		0		46
704		10/237		10/1		0		46
706		6/237		6/0		0		50
708		11/238		11/1		0		51
710		11/239		11/1		0		46
712		6/239		6/0		0		40
714		12/240		12/1		0		51
716		7/241		7/1		0		40
718		12/242		12/1		0		45
720		12/243		12/1		0		41
722		7/244		7/1		0		47
724		12/245		12/1		0		44
726		7/246		7/1		0		42
728		13/247		13/1		0		41
730		14/248		14/1		0		42
732		8/249		8/1		0		43
734		13/250		13/1		0		51
736		7/250		7/0		0		41
738		12/251		12/1		0		46
740		13/252		13/1		0		37
742		8/253		8/1		0		51
744		13/254		13/1		0		45
746		7/254		7/0		0		42
748		13/255		13/1		0		46
750		12/256		12/1		0		45
752		7/256		7/0		0		47
754		13/257		13/1		0		51
756		14/258		14/1		0		44
758		8/259		8/1		0		40
760		14/260		14/1		0		46
762		8/260		8/0		0		42
764		15/261		15/1		0		45
766		13/262		13/1		0		47
768		7/262		7/0		0		48
770		12/263		12/1		0		46
772		6/263		6/0		0		43
774		10/264		10/1		0		45
776		10/265		10/1		0		43
778		6/265		6/0		0		45
780		11/266		11/1		0		50
782		6/266		6/0		0		45
784		12/267		12/1		0		48
786		12/268		12/1		0		46
788		6/268		6/0		0		42
790		12/269		12/1		0		45
792		12/270		12/1		0		55
794		6/270		6/0		0		42
796		10/271		10/1		0		54
798		6/271		6/0		0		45
800		10/272		10/1		0		43
802		10/273		10/1		0		44
804		6/273		6/0		0		45
806		11/274		11/1		0		45
808		7/274		7/0		0		50
810		12/275		12/1		0		47
812		12/276		12/1		0		50
814		6/276		6/0		0		51
816		12/277		12/1		0		45
818		7/277		7/0		0		47
820		11/278		11/1		0		47
822		11/279		11/1		0		41
824		6/279		6/0		0		39
826		10/280		10/1		0		38
828		5/280		5/0		0		47
830		10/281		10/1		0		48
832		10/282		10/1		0		46
834		5/282		5/0		0		40
836		10/283		10/1		0		51
838		6/283		6/0		0		40
840		11/284		11/1		0		46
842		11/285		11/1		0		46
844		6/285		6/0		0		53
846		11/286		11/1		0		46
848		6/286		6/0		0		38
850		12/287		12/1		0		44
852		11/288		11/1		0		42
854		5/288		5/0		0		43
856		9/289		9/1		0		47
858		5/289		5/0		0		46
860		9/290		9/1		0		50
862		9/291		9/1		0		45
864		5/291		5/0		0		50
866		9/292		9/1		0		45
868		9/293		9/1		0		52
870		6/293		6/0		0		43
872		10/294		10/1		0		46
874		5/294		5/0		0		50
876		9/295		9/1		0		39
878		9/296		9/1		0		47
880		5/296		5/0		0		48
882		9/297		9/1		0		43
884		6/297		6/0		0		48
886		11/298		11/1		0		42
888		10/299		10/1		0		41
890		6/299		6/0		0		43
892		11/300		11/1		0		47
894		10/301		10/1		0		52
896		5/301		5/0		0		48
898		11/302		11/1		0		43
900		7/302		7/0		0		47
902		11/303		11/1		0		41
904		10/304		10/1		0		52
906		5/304		5/0		0		40
908		11/305		11/1		0		48
910		6/305		6/0		0		50
912		12/306		12/1		0		43
914		12/307		12/1		0		47
916		6/307		6/0		0		42
918		12/308		12/1		0		41
920		6/309		6/1		0		42
922		12/310		12/1		0		45
924		12/311		12/1		0		41
926		6/311		6/0		0		43
928		12/312		12/1		0		45
930		12/313		12/1		0		48
932		6/313		6/0		0		45
934		11/314		11/1		0		41
936		6/314		6/0		0		51
938		11/315		11/1		0		42
940		12/316		12/1		0		40
942		7/316		7/0		0		44
944		14/317		14/1		0		50
946		8/318		8/1		0		42
948		12/319		12/1		0		50
950		11/320		11/1		0		43
952		6/320		6/0		0		43
954		10/321		10/1		0		41
956		5/321		5/0		0		47
958		10/322		10/1		0		42
960		10/323		10/1		0		38
962		6/323		6/0		0		28
964		11/324		11/1		0		41
966		6/324		6/0		0		25
968		10/325		10/1		0		46
970		12/326		12/1		0		42
972		7/327		7/1		0		43
974		12/328		12/1		0		35
976		11/329		11/1		0		37
978		12/330		12/1		0		51
980		12/331		12/1		0		44
982		6/332		6/1		0		40
984		10/333		10/1		0		47
986		10/334		10/1		0		45
988		5/334		5/0		0		48
990		10/335		10/1		0		43
992		6/335		6/0		0		39
994		13/336		13/1		0		45
996		12/337		12/1		0		47
998		6/338		6/1		0		45
1000		11/339		11/1		0		28
1002		6/339		6/0		0		52
1004		11/340		11/1		0		17
1006		11/341		11/1		0		46
1008		6/341		6/0		0		43
1010		11/342		11/1		0		46
1012		11/343		11/1		0		29
1014		6/343		6/0		0		46
1016		11/344		11/1		0		41
1018		6/344		6/0		0		41
1020		12/345		12/1		0		44
1022		11/346		11/1		0		47
1024		6/346		6/0		0		45
1026		11/347		11/1		0		40
1028		6/347		6/0		0		43
1030		11/348		11/1		0		36
1032		11/349		11/1		0		50
1034		6/349		6/0		0		46
1036		11/350		11/1		0		52
1038		10/351		10/1		0		43
1040		5/351		5/0		0		37
1042		11/352		11/1		0		36
1044		6/352		6/0		0		16
1046		11/353		11/1		0		35
1048		11/354		11/1		0		28
1050		6/354		6/0		0		39
1052		11/355		11/1		0		37
1054		6/355		6/0		0		45
1056		12/356		12/1		0		46
1058		12/357		12/1		0		44
1060		7/357		7/0		0		35
1062		12/358		12/1		0		47
1064		6/358		6/0		0		46
1066		11/359		11/1		0		25
1068		11/360		11/1		0		43
1070		6/360		6/0		0		42
1072		12/361		12/1		0		41
1074		13/362		13/1		0		45
1076		7/362		7/0		0		47
1078		12/363		12/1		0		47
1080		6/363		6/0		0		47
1082		11/364		11/1		0		33
1084		12/365		12/1		0		36
1086		6/365		6/0		0		40
1088		11/366		11/1		0		45
1090		6/366		6/0		0		48
1092		11/367		11/1		0		43
1094		11/368		11/1		0		41
1096		6/368		6/0		0		46
1098		12/369		12/1		0		42
1100		6/369		6/0		0		41
1102		11/370		11/1		0		38
1104		12/371		12/1		0		37
1106		7/371		7/0		0		38
1108		12/372		12/1		0		36
1110		7/372		7/0		0		39
1112		12/373		12/1		0		34
1114		12/374		12/1		0		42
1116		7/375		7/1		0		46
1118		13/376		13/1		0		48
1120		7/376		7/0		0		25
1122		12/377		12/1		0		46
1124		11/378		11/1		0		44
1126		6/378		6/0		0		41
1128		12/379		12/1		0		43
1130		12/380		12/1		0		27
1132		6/381		6/1		0		32
1134		12/382		12/1		0		43
1136		7/382		7/0		0		43
1138		10/383		10/1		0		52
1140		11/384		11/1		0		51
1142		6/384		6/0		0		50
1144		11/385		11/1		0		50
1146		7/385		7/0		0		44
1148		11/386		11/1		0		48
1150		11/387		11/1		0		43
1152		8/388		8/1		0		45
1154		12/389		12/1		0		48
1156		12/390		12/1		0		46
1158		11/391		11/1		0		53
1160		12/392		12/1		0		40
1162		7/393		7/1		0		53
1164		12/394		12/1		0		45
1166		13/395		13/1		0		48
1168		7/396		7/1		0		48
1170		14/397		14/1		0		46
1172		7/397		7/0		0		51
1174		11/398		11/1		0		47
1176		10/399		10/1		0		43
1178		6/399		6/0		0		48
1180		12/400		12/1		0		53
1182		7/400		7/0		0		42
1184		12/401		12/1		0		30
1186		10/402		10/1		0		47
1188		6/402		6/0		0		37
1190		10/403		10/1		0		44
1192		7/403		7/0		0		41
1194		12/404		12/1		0		41
1196		12/405		12/1		0		42
1198		7/405		7/0		0		51
1200		12/406		12/1		0		42
1202		11/407		11/1		0		42
1204		7/407		7/0		0		47
1206		12/408		12/1		0		48
1208		7/408		7/0		0		41
1210		13/409		13/1		0		38
1212		14/410		14/1		0		48
1214		8/411		8/1		0		46
1216		14/412		14/1		0		50
1218		8/413		8/1		0		42
1220		13/414		13/1		0		42
1222		13/415		13/1		0		47
1224		8/416		8/1		0		45
1226		13/417		13/1		0		41
1228		7/417		7/0		0		37
1230		13/418		13/1		0		39
1232		14/419		14/1		0		48
1234		8/419		8/0		0		52
1236		13/420		13/1		0		52
1238		13/421		13/1		0		45
1240		7/421		7/0		0		46
1242		12/422		12/1		0		43
1244		7/422		7/0		0		46
1246		12/423		12/1		0		40
1248		11/424		11/1		0		48
1250		6/424		6/0		0		41
1252		12/425		12/1		0		42
1254		6/425		6/0		0		46
1256		11/426		11/1		0		42
1258		12/427		12/1		0		40
1260		6/427		6/0		0		38
1262		11/428		11/1		0		47
1264		7/428		7/0		0		50
1266		11/429		11/1		0		43
1268		12/430		12/1		0		51
1270		8/431		8/1		0		35
1272		13/432		13/1		0		31
1274		7/433		7/1		0		41
1276		13/434		13/1		0		45
1278		14/435		14/1		0		47
1280		8/435		8/0		0		37
1282		14/436		14/1		0		45
1284		7/437		7/1		0		50
1286		13/438		13/1		0		50
1288		13/439		13/1		0		45
1290		7/439		7/0		0		37
1292		11/440		11/1		0		45
1294		7/440		7/0		0		34
1296		13/441		13/1		0		45
1298		13/442		13/1		0		41
1300		7/443		7/1		0		43
1302		13/444		13/1		0		47
1304		13/445		13/1		0		51
1306		13/446		13/1		0		47
1308		13/447		13/1		0		40
1310		7/448		7/1		0		40
1312		14/449		14/1		0		45
1314		13/450		13/1		0		20
1316		8/451		8/1		0		42
1318		13/452		13/1		0		50
1320		8/453		8/1		0		38
1322		13/454		13/1		0		41
1324		12/455		12/1		0		50
1326		7/455		7/0		0		46
1328		12/456		12/1		0		42
1330		7/457		7/1		0		41
1332		12/458		12/1		0		41
1334		12/459		12/1		0		35
1336		7/460		7/1		0		47
1338		11/461		11/1		0		47
1340		12/462		12/1		0		35
1342		7/462		7/0		0		44
1344		12/463		12/1		0		42
1346		7/463		7/0		0		45
1348		12/464		12/1		0		37
1350		13/465		13/1		0		41
1352		7/466		7/1		0		45
1354		13/467		13/1		0		41
1356		8/468		8/1		0		45
1358		14/469		14/1		0		42
1360		13/470		13/1		0		45
1362		7/471		7/1		0		38
1364		13/472		13/1		0		45
1366		12/473		12/1		0		38
1368		7/474		7/1		0		38
1370		12/475		12/1		0		52
1372		7/475		7/0		0		45
1374		13/476		13/1		0		48
1376		12/477		12/1		0		45
1378		7/478		7/1		0		41
1380		12/479		12/1		0		43
1382		7/479		7/0		0		43
