Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
816		13/59511		13/71		0		57
818		7/59511		7/0		0		7
820		13/59512		13/1		0		56
822		23/59756		23/244		0		58
824		19/60041		19/285		0		48
826		17/60108		17/67		0		58
828		8/60109		8/1		0		61
830		15/60110		15/1		0		66
832		18/60277		18/167		0		60
834		16/60522		16/245		0		51
836		23/60819		23/297		0		60
838		27/61202		27/383		0		45
840		20/61456		20/254		0		47
842		26/61665		26/209		0		62
844		10/61666		10/1		0		62
846		18/61668		18/2		0		67
848		18/61670		18/2		0		46
850		21/61925		21/255		0		51
852		37/62378		37/453		0		55
854		17/62519		17/141		0		65
856		16/62520		16/1		0		10
858		12/62521		12/1		0		56
860		8/62567		8/46		0		66
862		28/63021		28/454		0		8
864		29/63512		29/491		0		47
866		14/63747		14/235		0		57
868		26/64176		26/429		0		62
870		13/64378		13/202		0		10
872		20/64683		20/305		0		60
874		26/65117		26/434		0		56
876		18/65358		18/241		0		50
878		27/65787		27/429		0		48
880		12/65941		12/154		0		52
882		11/65942		11/1		0		56
884		12/65943		12/1		0		63
886		7/65943		7/0		0		58
888		24/66262		24/319		0		13
890		17/66520		17/258		0		60
892		13/66521		13/1		0		58
894		11/66522		11/1		0		65
896		6/66522		6/0		0		61
898		24/66880		24/358		0		55
900		15/67116		15/236		0		67
902		12/67168		12/52		0		28
904		10/67169		10/1		0		65
906		5/67169		5/0		0		13
908		23/67495		23/326		0		53
910		26/67874		26/379		0		65
912		6/67875		6/1		0		67
914		11/67876		11/1		0		63
916		6/67876		6/0		0		11
918		21/68131		21/255		0		56
920		24/68480		24/349		0		56
922		5/68480		5/0		0		60
924		10/68481		10/1		0		45
926		10/68482		10/1		0		57
928		15/68715		15/233		0		56
930		26/69081		26/366		0		60
932		6/69081		6/0		0		58
934		9/69082		9/1		0		65
936		9/69083		9/1		0		57
938		15/69336		15/253		0		58
940		23/69690		23/354		0		58
942		9/69691		9/1		0		7
944		9/69692		9/1		0		62
946		15/69857		15/165		0		52
948		15/70100		15/243		0		57
950		28/70518		28/418		0		53
952		29/70912		29/394		0		63
954		6/70912		6/0		0		66
956		10/70913		10/1		0		7
958		5/70913		5/0		0		56
960		13/71009		13/96		0		48
962		26/71448		26/439		0		56
964		11/71604		11/156		0		61
966		10/71605		10/1		0		57
968		13/71606		13/1		0		57
970		6/71607		6/1		0		51
972		23/71954		23/347		0		50
974		14/72186		14/232		0		63
976		11/72224		11/38		0		27
978		8/72225		8/1		0		47
980		4/72225		4/0		0		42
982		20/72522		20/297		0		26
984		5/72522		5/0		0		37
986		9/72523		9/1		0		18
988		9/72524		9/1		0		62
990		17/72807		17/283		0		60
992		18/73014		18/207		0		21
994		8/73015		8/1		0		42
996		5/73015		5/0		0		21
998		15/73190		15/175		0		56
1000		19/73556		19/366		0		40
1002		13/73638		13/82		0		45
1004		10/73640		10/2		0		61
1006		5/73640		5/0		0		48
1008		23/74014		23/374		0		40
1010		5/74014		5/0		0		61
1012		10/74015		10/1		0		7
1014		10/74016		10/1		0		12
1016		17/74289		17/273		0		52
1018		18/74389		18/100		0		60
1020		13/74390		13/1		0		48
1022		8/74391		8/1		0		57
1024		28/74753		28/362		0		58
1026		19/75054		19/301		0		51
1028		25/75371		25/317		0		59
1030		11/75372		11/1		0		13
1032		6/75372		6/0		0		61
1034		12/75373		12/1		0		7
1036		29/75815		29/442		0		45
1038		19/76117		19/302		0		48
1040		34/76654		34/537		0		8
1042		20/76976		20/322		0		55
1044		23/77236		23/260		0		64
1046		13/77237		13/1		0		66
1048		7/77237		7/0		0		61
1050		12/77238		12/1		0		61
1052		16/77471		16/233		0		53
1054		32/77960		32/489		0		62
1056		17/77991		17/31		0		60
1058		8/77992		8/1		0		54
1060		14/77993		14/1		0		28
1062		20/78212		20/219		0		58
1064		17/78494		17/282		0		51
1066		31/79034		31/540		0		46
1068		18/79318		18/284		0		51
1070		29/79715		29/397		0		8
1072		13/79716		13/1		0		65
1074		7/79716		7/0		0		8
1076		11/79717		11/1		0		8
1078		17/79966		17/249		0		52
1080		28/80421		28/455		0		60
1082		11/80422		11/1		0		62
1084		6/80422		6/0		0		55
1086		10/80423		10/1		0		11
1088		15/80661		15/238		0		61
1090		29/81117		29/456		0		8
1092		11/81118		11/1		0		60
1094		6/81118		6/0		0		27
1096		10/81119		10/1		0		35
1098		28/81553		28/434		0		36
1100		18/81851		18/298		0		63
1102		10/81852		10/1		0		53
1104		5/81852		5/0		0		38
1106		10/81853		10/1		0		46
1108		29/82288		29/435		0		57
1110		10/82410		10/122		0		65
1112		10/82411		10/1		0		53
1114		5/82411		5/0		0		45
1116		14/82523		14/112		0		58
1118		25/82933		25/410		0		56
1120		5/82933		5/0		0		12
1122		8/82934		8/1		0		6
1124		9/82953		9/19		0		48
1126		32/83529		32/576		0		12
1128		29/84058		29/529		0		60
1130		7/84121		7/63		0		2
1132		8/84122		8/1		0		65
1134		8/84123		8/1		0		18
1136		8/84216		8/93		0		55
1138		15/84378		15/162		0		1
1140		7/84379		7/1		0		53
1142		15/84380		15/1		0		50
1144		22/84585		22/205		0		61
1146		10/84632		10/47		0		45
1148		16/84633		16/1		0		10
1150		15/84635		15/2		0		65
1152		12/84731		12/96		0		63
1154		33/85228		33/497		0		56
1156		17/85493		17/265		0		11
1158		30/85954		30/461		0		47
1160		28/86376		28/422		0		48
1162		15/86609		15/233		0		60
1164		24/86979		24/370		0		55
1166		15/87215		15/236		0		42
1168		21/87510		21/295		0		59
1170		24/87916		24/406		0		58
1172		14/88144		14/228		0		50
1174		18/88323		18/179		0		20
1176		6/88324		6/1		0		65
1178		12/88325		12/1		0		67
1180		19/88517		19/192		0		56
1182		17/88749		17/232		0		55
1184		18/88859		18/110		0		60
1186		7/88860		7/1		0		63
1188		14/88861		14/1		0		65
1190		20/89012		20/151		0		56
1192		18/89293		18/281		0		7
1194		14/89364		14/71		0		63
1196		11/89365		11/1		0		7
1198		7/89365		7/0		0		57
1200		23/89669		23/304		0		52
1202		16/89903		16/234		0		11
1204		16/89997		16/94		0		58
1206		13/89998		13/1		0		63
1208		7/89998		7/0		0		61
1210		24/90298		24/300		0		8
1212		14/90465		14/167		0		65
1214		12/90466		12/1		0		65
1216		13/90467		13/1		0		63
1218		8/90515		8/48		0		56
1220		28/90924		28/409		0		8
1222		12/90925		12/1		0		62
1224		7/90926		7/1		0		41
1226		11/90927		11/1		0		56
1228		14/91113		14/186		0		53
1230		23/91392		23/279		0		57
1232		12/91393		12/1		0		58
1234		7/91394		7/1		0		57
1236		13/91395		13/1		0		53
1238		14/91591		14/196		0		47
1240		24/91871		24/280		0		61
1242		12/91872		12/1		0		60
1244		7/91873		7/1		0		62
1246		17/91995		17/122		0		51
1248		28/92384		28/389		0		7
1250		7/92384		7/0		0		55
1252		13/92385		13/1		0		46
1254		8/92386		8/1		0		52
1256		18/92511		18/125		0		48
1258		30/92950		30/439		0		7
1260		9/92994		9/44		0		57
1262		13/92995		13/1		0		47
1264		7/92996		7/1		0		16
1266		19/93152		19/156		0		60
1268		28/93537		28/385		0		55
1270		8/93538		8/1		0		33
1272		13/93539		13/1		0		53
1274		7/93539		7/0		0		56
1276		26/93853		26/314		0		53
1278		28/94243		28/390		0		22
1280		8/94243		8/0		0		56
1282		13/94244		13/1		0		51
1284		13/94245		13/1		0		48
1286		19/94544		19/299		0		50
1288		31/94962		31/418		0		43
1290		8/94963		8/1		0		47
1292		13/94964		13/1		0		60
1294		14/94965		14/1		0		57
1296		18/95196		18/231		0		53
1298		32/95624		32/428		0		60
1300		19/95726		19/102		0		8
1302		14/95727		14/1		0		57
1304		14/95728		14/1		0		56
1306		17/95957		17/229		0		45
1308		31/96385		31/428		0		55
1310		30/96795		30/410		0		30
1312		19/97061		19/266		0		62
1314		29/97457		29/396		0		46
1316		10/97544		10/87		0		53
1318		30/98017		30/473		0		66
1320		10/98024		10/7		0		65
1322		6/98025		6/1		0		58
1324		12/98026		12/1		0		57
1326		16/98261		16/235		0		60
1328		25/98621		25/360		0		63
1330		9/98622		9/1		0		7
1332		5/98622		5/0		0		58
1334		10/98623		10/1		0		52
1336		25/98984		25/361		0		53
1338		16/99224		16/240		0		52
1340		29/99622		29/398		0		55
1342		13/99750		13/128		0		56
1344		13/99751		13/1		0		57
1346		13/99752		13/1		0		18
1348		8/99752		8/0		0		63
1350		28/100034		28/282		0		40
1352		26/100340		26/306		0		57
1354		9/100341		9/1		0		53
1356		15/100342		15/1		0		53
1358		9/100343		9/1		0		59
1360		25/100607		25/264		0		48
1362		30/100956		30/349		0		53
1364		9/100957		9/1		0		7
1366		13/100958		13/1		0		63
1368		6/100958		6/0		0		62
1370		21/101220		21/262		0		10
1372		28/101661		28/441		0		55
1374		15/101891		15/230		0		46
1376		27/102290		27/399		0		55
1378		28/102710		28/420		0		64
1380		10/102799		10/89		0		58
1382		28/103223		28/424		0		58
1384		17/103488		17/265		0		40
1386		22/103776		22/288		0		51
1388		18/104070		18/294		0		51
1390		23/104362		23/292		0		16
1392		10/104363		10/1		0		66
1394		6/104363		6/0		0		61
1396		10/104364		10/1		0		58
1398		26/104744		26/380		0		12
1400		15/104970		15/226		0		63
1402		10/104971		10/1		0		63
1404		5/104971		5/0		0		61
1406		10/104972		10/1		0		52
1408		23/105319		23/347		0		57
1410		14/105532		14/213		0		58
1412		9/105533		9/1		0		10
1414		9/105534		9/1		0		65
1416		5/105534		5/0		0		40
1418		22/105853		22/319		0		52
1420		14/106061		14/208		0		56
1422		10/106062		10/1		0		62
1424		9/106063		9/1		0		57
1426		5/106063		5/0		0		63
1428		20/106337		20/274		0		8
1430		14/106569		14/232		0		56
1432		18/106784		18/215		0		62
1434		10/106785		10/1		0		63
1436		5/106785		5/0		0		60
1438		14/106915		14/130		0		50
1440		18/107114		18/199		0		25
1442		5/107114		5/0		0		61
1444		11/107115		11/1		0		53
1446		6/107115		6/0		0		61
1448		25/107418		25/303		0		53
1450		21/107620		21/202		0		58
1452		7/107620		7/0		0		65
1454		12/107621		12/1		0		55
1456		8/107646		8/25		0		51
1458		26/108039		26/393		0		57
1460		16/108204		16/165		0		62
1462		5/108204		5/0		0		60
1464		9/108205		9/1		0		62
1466		16/108405		16/200		0		52
1468		15/108653		15/248		0		53
1470		18/108774		18/121		0		66
1472		7/108774		7/0		0		61
1474		10/108775		10/1		0		65
1476		19/108975		19/200		0		60
1478		17/109265		17/290		0		12
1480		13/109349		13/84		0		60
1482		6/109349		6/0		0		63
1484		11/109350		11/1		0		51
1486		18/109540		18/190		0		55
1488		15/109782		15/242		0		8
1490		19/110067		19/285		0		57
1492		8/110068		8/1		0		57
1494		4/110068		4/0		0		43
1496		10/110069		10/1		0		20
1498		15/110312		15/243		0		46
1500		15/110420		15/108		0		26
1502		10/110421		10/1		0		20
1504		6/110421		6/0		0		62
1506		24/110743		24/322		0		55
1508		9/110744		9/1		0		61
1510		10/110745		10/1		0		30
1512		17/110937		17/192		0		51
1514		16/111217		16/280		0		45
1516		26/111626		26/409		0		58
1518		10/111627		10/1		0		60
1520		6/111627		6/0		0		21
1522		12/111628		12/1		0		53
1524		15/111831		15/203		0		58
1526		28/112256		28/425		0		60
1528		9/112257		9/1		0		65
