Got interface enp0s3
Got process 10598
processes: 10598
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		10598
826		13/344		13/1		0		66
828		6/344		6/0		0		76
830		12/345		12/1		0		95
832		7/345		7/0		0		95
834		12/346		12/1		0		87
836		12/347		12/1		0		95
838		7/347		7/0		0		92
840		14/348		14/1		0		91
842		6/348		6/0		0		68
844		12/349		12/1		0		70
846		12/350		12/1		0		82
848		7/350		7/0		0		92
850		14/351		14/1		0		91
852		13/352		13/1		0		88
854		8/352		8/0		0		71
856		12/353		12/1		0		95
858		7/353		7/0		0		55
860		12/354		12/1		0		65
862		13/355		13/1		0		71
864		7/355		7/0		0		57
866		12/356		12/1		0		90
868		8/357		8/1		0		83
870		15/358		15/1		0		68
872		17/360		17/2		0		96
874		9/361		9/1		0		92
876		15/362		15/1		0		92
878		13/363		13/1		0		95
880		7/363		7/0		0		76
882		12/364		12/1		0		87
884		7/364		7/0		0		93
886		13/365		13/1		0		91
888		13/366		13/1		0		83
890		6/366		6/0		0		97
892		14/367		14/1		0		92
894		15/369		15/2		0		96
896		8/370		8/1		0		96
898		13/371		13/1		0		96
900		7/371		7/0		0		87
902		13/372		13/1		0		91
904		13/373		13/1		0		93
906		7/373		7/0		0		96
908		13/374		13/1		0		61
910		7/375		7/1		0		90
912		13/376		13/1		0		88
914		13/377		13/1		0		85
916		7/377		7/0		0		52
918		10/378		10/1		0		95
920		9/379		9/1		0		61
922		5/379		5/0		0		72
924		9/380		9/1		0		83
926		5/380		5/0		0		20
928		9/381		9/1		0		81
930		9/382		9/1		0		32
932		6/382		6/0		0		83
934		10/383		10/1		0		42
936		6/383		6/0		0		96
938		9/384		9/1		0		17
940		11/385		11/1		0		90
942		6/385		6/0		0		40
944		11/386		11/1		0		91
946		10/387		10/1		0		41
948		6/387		6/0		0		80
950		10/388		10/1		0		71
952		6/388		6/0		0		83
954		11/389		11/1		0		88
956		11/390		11/1		0		83
958		6/390		6/0		0		75
960		11/391		11/1		0		47
962		11/392		11/1		0		91
964		5/392		5/0		0		5
966		10/393		10/1		0		88
968		6/393		6/0		0		32
970		12/394		12/1		0		95
972		14/395		14/1		0		95
974		8/396		8/1		0		96
976		17/397		17/1		0		93
978		10/398		10/1		0		93
980		17/399		17/1		0		93
982		15/400		15/1		0		93
984		7/401		7/1		0		95
986		13/402		13/1		0		90
988		14/403		14/1		0		96
990		15/404		15/1		0		91
992		14/405		14/1		0		95
994		7/405		7/0		0		92
996		10/406		10/1		0		83
998		9/407		9/1		0		73
1000		4/407		4/0		0		65
1002		8/408		8/1		0		78
1004		5/408		5/0		0		95
1006		8/409		8/1		0		87
1008		9/410		9/1		0		45
1010		6/410		6/0		0		67
1012		12/411		12/1		0		95
1014		13/412		13/1		0		95
1016		6/412		6/0		0		61
1018		13/413		13/1		0		91
1020		8/414		8/1		0		95
1022		14/415		14/1		0		95
1024		14/416		14/1		0		95
1026		8/416		8/0		0		93
1028		15/417		15/1		0		91
1030		9/418		9/1		0		96
1032		15/419		15/1		0		96
1034		13/420		13/1		0		91
1036		9/421		9/1		0		92
1038		17/422		17/1		0		93
1040		9/423		9/1		0		93
1042		16/424		16/1		0		90
