Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
708		15/61743		15/68		0		62
710		12/61744		12/1		0		7
712		7/61744		7/0		0		61
714		12/61745		12/1		0		57
716		12/61746		12/1		0		8
718		7/61746		7/0		0		59
720		25/62083		25/337		0		52
722		16/62303		16/220		0		12
724		25/62656		25/353		0		61
726		26/63030		26/374		0		43
728		16/63284		16/254		0		65
730		10/63285		10/1		0		66
732		6/63285		6/0		0		57
734		10/63286		10/1		0		60
736		24/63643		24/357		0		57
738		16/63885		16/242		0		53
740		22/64144		22/259		0		53
742		14/64145		14/1		0		57
744		7/64145		7/0		0		7
746		13/64146		13/1		0		57
748		16/64366		16/220		0		51
750		29/64774		29/408		0		52
752		29/65227		29/453		0		52
754		19/65457		19/230		0		55
756		17/65754		17/297		0		60
758		4/65754		4/0		0		52
760		21/65755		21/1		0		62
762		13/65756		13/1		0		60
764		14/66008		14/252		0		57
766		28/66474		28/466		0		70
768		15/66475		15/1		0		66
770		9/66475		9/0		0		57
772		9/66476		9/1		0		53
774		14/66696		14/220		0		47
776		31/67258		31/562		0		37
778		18/67390		18/132		0		68
780		6/67390		6/0		0		63
782		12/67391		12/1		0		57
784		8/67417		8/26		0		58
786		32/67853		32/436		0		46
788		31/68266		31/413		0		63
790		11/68340		11/74		0		26
792		27/68739		27/399		0		55
794		8/68739		8/0		0		17
796		11/68740		11/1		0		56
798		15/68741		15/1		0		56
800		15/68900		15/159		0		55
802		18/69027		18/127		0		61
804		6/69027		6/0		0		6
806		8/69027		8/0		0		63
808		14/69127		14/100		0		32
810		23/69367		23/240		0		13
812		14/69722		14/355		0		37
814		24/70025		24/303		0		62
816		19/70377		19/352		0		11
818		20/70551		20/174		0		51
820		15/70796		15/245		0		68
822		22/71018		22/222		0		8
824		0/71018		0/0		0		52
826		22/71020		22/2		0		63
828		5/71020		5/0		0		38
830		21/71262		21/242		0		48
832		28/71678		28/416		0		60
834		10/71735		10/57		0		60
836		7/71735		7/0		0		61
838		9/71736		9/1		0		61
840		8/71792		8/56		0		46
842		27/72235		27/443		0		8
844		28/72677		28/442		0		50
846		15/72918		15/241		0		56
848		20/73208		20/290		0		10
850		6/73208		6/0		0		62
852		9/73209		9/1		0		7
854		9/73210		9/1		0		53
856		16/73490		16/280		0		33
858		20/73781		20/291		0		57
860		5/73781		5/0		0		54
862		11/73782		11/1		0		58
864		13/73783		13/1		0		55
866		16/73991		16/208		0		63
868		22/74267		22/276		0		62
870		12/74268		12/1		0		60
872		8/74269		8/1		0		65
874		12/74270		12/1		0		62
876		14/74493		14/223		0		53
878		25/74883		25/390		0		10
880		10/74884		10/1		0		65
882		6/74884		6/0		0		61
