Got interface enp0s3
Got process 2253
processes: 2253
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2253
850		12/285		12/1		0		66
852		7/285		7/0		0		58
854		10/286		10/1		0		55
856		10/287		10/1		0		30
858		7/287		7/0		0		46
860		21/289		21/2		0		70
862		9/289		9/0		0		68
864		8/289		8/0		0		37
866		19/290		19/1		0		58
868		6/290		6/0		0		73
870		8/290		8/0		0		32
872		20/292		20/2		0		38
874		6/292		6/0		0		37
876		20/294		20/2		0		33
878		6/294		6/0		0		33
880		22/296		22/2		0		53
