Got process 7616
Got interface enp0s3
processes: 7616
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		7616
610		7/49318		7/0		0		66
612		32/49796		32/478		0		7
614		17/49929		17/133		0		38
616		6/49930		6/1		0		1
618		21/50205		21/275		0		37
620		27/50602		27/397		0		23
622		6/50602		6/0		0		1
624		11/50603		11/1		0		36
626		23/51044		23/441		0		7
628		42/51856		42/812		0		23
630		10/51857		10/1		0		27
632		6/51857		6/0		0		33
634		26/52239		26/382		0		43
636		10/52240		10/1		0		13
638		5/52240		5/0		0		36
640		24/52600		24/360		0		20
642		9/52661		9/61		0		62
644		10/52662		10/1		0		45
646		24/52980		24/318		0		43
648		16/53232		16/252		0		25
650		11/53233		11/1		0		27
652		12/53234		12/1		0		48
654		6/53234		6/0		0		6
656		10/53235		10/1		0		25
658		9/53331		9/96		0		31
660		40/54094		40/763		0		32
662		34/54698		34/604		0		37
664		6/54698		6/0		0		58
666		11/54699		11/1		0		31
668		32/55226		32/527		0		7
670		11/55348		11/122		0		47
672		11/55349		11/1		0		30
674		21/55591		21/242		0		43
676		22/55958		22/367		0		41
678		12/55959		12/1		0		47
680		8/55960		8/1		0		63
682		15/55961		15/1		0		46
684		16/55962		16/1		0		7
686		7/55962		7/0		0		55
688		41/56717		41/755		0		31
690		43/57519		43/802		0		2
692		14/57719		14/200		0		5
694		12/57720		12/1		0		55
696		7/57720		7/0		0		53
698		32/58223		32/503		0		43
700		20/58452		20/229		0		53
702		7/58452		7/0		0		23
704		17/58556		17/104		0		56
706		42/59264		42/708		0		54
708		8/59264		8/0		0		62
710		13/59265		13/1		0		52
712		9/59333		9/68		0		40
714		39/60001		39/668		0		7
716		11/60002		11/1		0		37
718		6/60002		6/0		0		46
720		31/60542		31/540		0		8
722		46/61439		46/897		0		38
724		20/61804		20/365		0		58
726		10/61805		10/1		0		25
728		11/61806		11/1		0		7
730		20/62146		20/340		0		31
732		30/62626		30/480		0		42
734		6/62626		6/0		0		7
736		10/62627		10/1		0		58
738		38/63295		38/668		0		6
740		18/63585		18/290		0		50
742		11/63586		11/1		0		51
744		11/63603		11/17		0		32
746		26/64103		26/500		0		42
748		36/64729		36/626		0		7
750		7/64729		7/0		0		33
752		11/64730		11/1		0		41
754		30/65219		30/489		0		13
756		8/65285		8/66		0		2
758		11/65286		11/1		0		30
760		22/65558		22/272		0		2
762		14/65764		14/206		0		61
764		11/65765		11/1		0		1
766		6/65765		6/0		0		42
768		35/66393		35/628		0		15
770		10/66394		10/1		0		15
772		6/66394		6/0		0		47
774		10/66395		10/1		0		56
776		10/66396		10/1		0		37
778		6/66409		6/13		0		1
780		43/67251		43/842		0		61
782		22/67556		22/305		0		1
784		5/67556		5/0		0		57
786		11/67557		11/1		0		1
788		26/68050		26/493		0		48
790		13/68102		13/52		0		1
792		10/68103		10/1		0		53
794		20/68458		20/355		0		26
796		23/68748		23/290		0		47
798		10/68749		10/1		0		44
800		8/68821		8/72		0		33
802		44/69683		44/862		0		33
804		8/69750		8/67		0		7
806		11/69751		11/1		0		25
808		25/70045		25/294		0		20
810		25/70511		25/466		0		27
812		34/71088		34/577		0		53
814		10/71089		10/1		0		62
816		7/71089		7/0		0		48
818		32/71592		32/503		0		8
820		17/71837		17/245		0		50
822		13/71838		13/1		0		43
